"name";"var_id";"name";"units";"friendly_name";"value";"ts";"name";"lat";"lng";"elev"
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;77.5;2023-03-02 05:04:56.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;75.3;2023-03-02 05:14:34.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;71.7;2023-03-02 05:24:31.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;71.6;2023-03-02 05:35:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;75.1;2023-03-02 05:44:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;72.4;2023-03-02 05:54:30.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;68.8;2023-03-02 06:04:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;66.7;2023-03-02 06:14:31.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;64.5;2023-03-02 06:24:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;66.9;2023-03-02 06:34:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;68.1;2023-03-02 06:45:12.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;68.2;2023-03-02 06:54:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;61.2;2023-03-02 07:14:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;61.7;2023-03-02 07:24:30.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;60.4;2023-03-02 07:54:54.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;56.7;2023-03-02 08:14:49.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;55.9;2023-03-02 08:24:38.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;53.5;2023-03-02 08:44:58.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;51.7;2023-03-02 09:04:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;30.0;2023-03-02 14:34:29.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;28.8;2023-03-02 15:14:42.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;29.6;2023-03-02 16:15:59.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;60.9;2023-03-02 17:46:29.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;62.6;2023-03-02 17:54:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;64.3;2023-03-02 18:05:18.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;70.9;2023-03-02 18:14:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;76.5;2023-03-02 18:24:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;70.3;2023-03-02 18:45:14.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;64.3;2023-03-02 18:55:30.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;55.8;2023-03-02 19:04:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;55.8;2023-03-02 19:24:38.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;62.2;2023-03-02 19:44:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;66.6;2023-03-02 19:55:50.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;63.6;2023-03-02 20:25:03.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;65.8;2023-03-02 20:34:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;56.2;2023-03-02 21:14:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;51.7;2023-03-02 21:24:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;45.1;2023-03-02 21:34:33.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;43.0;2023-03-02 21:45:01.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.7;2023-03-02 22:04:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;41.4;2023-03-02 22:14:32.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.8;2023-03-02 22:24:57.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.7;2023-03-02 22:34:37.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;40.3;2023-03-02 22:44:56.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;39.5;2023-03-02 22:54:58.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.8;2023-03-02 23:04:34.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.7;2023-03-02 23:14:56.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.1;2023-03-02 23:24:41.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.3;2023-03-02 23:35:23.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.1;2023-03-02 23:44:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.7;2023-03-02 23:54:36.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
ES2 - La Teja - Montecoche;6;HUM;%RH;Humedad;38.6;2023-03-03 00:05:35.000;ES2 - La Teja - Montecoche;36.2791;-5.55912;531
